Title,Raw_Price,Raw_Area,Raw_BHK,Locality,lat,lon
Premium 3 BHK in Silicon Suburbs,"₹ 6,553,981 /- Only",1903 Sq-Ft,3 BHK,Silicon Suburbs,12.928647039365215,77.62446710325992
Premium 4 BHK in Silicon Suburbs,"₹ 7,844,244 /- Only",2188 Sq-Ft,4 BHK,Silicon Suburbs,12.921491161980665,77.63151484447366
Premium 2 BHK in Silicon Suburbs,"₹ 4,115,883 /- Only",1137 Sq-Ft,2 BHK,Silicon Suburbs,12.923181258637861,77.63296804958057
Premium 1 BHK in Downtown Core,"₹ 3,376,096 /- Only",650 Sq-Ft,1 BHK,Downtown Core,12.96513286038088,77.59696600780555
Premium 2 BHK in Downtown Core,"₹ 6,211,977 /- Only",1226 Sq-Ft,2 BHK,Downtown Core,12.966525079148509,77.59276574954956
Premium 1 BHK in Greenwood Valley,"₹ 2,365,974 /- Only",686 Sq-Ft,1 BHK,Greenwood Valley,12.971592179265771,77.74093329995745
Premium 4 BHK in Greenwood Valley,"₹ 9,619,946 /- Only",2860 Sq-Ft,4 BHK,Greenwood Valley,12.976298375993265,77.75901795281365
Premium 2 BHK in Riverside Estates,"₹ 4,424,386 /- Only",1286 Sq-Ft,2 BHK,Riverside Estates,13.03446929642709,77.53026498542427
Premium 2 BHK in Silicon Suburbs,"₹ 3,821,035 /- Only",1088 Sq-Ft,2 BHK,Silicon Suburbs,12.934340703692008,77.63041709135899
Premium 1 BHK in Greenwood Valley,"₹ 2,071,544 /- Only",545 Sq-Ft,1 BHK,Greenwood Valley,12.988654134682005,77.76018083055051
Premium 4 BHK in Silicon Suburbs,"₹ 8,119,552 /- Only",2379 Sq-Ft,4 BHK,Silicon Suburbs,12.918826970370644,77.62175020318844
Premium 2 BHK in Greenwood Valley,"₹ 4,725,569 /- Only",1433 Sq-Ft,2 BHK,Greenwood Valley,12.9722833908379,77.73980348739047
Premium 4 BHK in Downtown Core,"₹ 12,247,036 /- Only",2375 Sq-Ft,4 BHK,Downtown Core,12.981743156952929,77.58442848078569
Premium 4 BHK in Silicon Suburbs,"₹ 9,237,184 /- Only",2772 Sq-Ft,4 BHK,Silicon Suburbs,12.92969587483179,77.61659939017056
Premium 2 BHK in Riverside Estates,"₹ 5,069,525 /- Only",1489 Sq-Ft,2 BHK,Riverside Estates,13.034180739672292,77.55076353338835
Premium 4 BHK in Silicon Suburbs,"₹ 7,755,474 /- Only",2238 Sq-Ft,4 BHK,Silicon Suburbs,12.93237604090089,77.62678587190901
Premium 4 BHK in Greenwood Valley,"₹ 8,367,134 /- Only",2466 Sq-Ft,4 BHK,Greenwood Valley,12.975702857919291,77.75951309763492
Premium 3 BHK in Greenwood Valley,"₹ 6,396,949 /- Only",1868 Sq-Ft,3 BHK,Greenwood Valley,12.975323693569749,77.75544371654367
Premium 3 BHK in Downtown Core,"₹ 9,366,964 /- Only",1846 Sq-Ft,3 BHK,Downtown Core,12.97396107097314,77.59589382036395
Premium 4 BHK in Downtown Core,"₹ 12,011,908 /- Only",2295 Sq-Ft,4 BHK,Downtown Core,12.982591264925698,77.59232191696644
Premium 2 BHK in Greenwood Valley,"₹ 4,252,494 /- Only",1210 Sq-Ft,2 BHK,Greenwood Valley,12.99089955714232,77.739778250658
Premium 1 BHK in Greenwood Valley,"₹ 1,996,859 /- Only",596 Sq-Ft,1 BHK,Greenwood Valley,12.985323675269855,77.7499013492683
Premium 3 BHK in Silicon Suburbs,"₹ 7,574,525 /- Only",2250 Sq-Ft,3 BHK,Silicon Suburbs,12.932231428943405,77.62412840284152
Premium 4 BHK in Silicon Suburbs,"₹ 9,971,836 /- Only",3002 Sq-Ft,4 BHK,Silicon Suburbs,12.931347073125322,77.61972109195628
Premium 2 BHK in Greenwood Valley,"₹ 4,804,936 /- Only",1422 Sq-Ft,2 BHK,Greenwood Valley,12.972715333569619,77.76155692974312
Premium 2 BHK in Downtown Core,"₹ 6,041,918 /- Only",1177 Sq-Ft,2 BHK,Downtown Core,12.959614553168809,77.58654681613181
Premium 3 BHK in Downtown Core,"₹ 9,640,405 /- Only",1854 Sq-Ft,3 BHK,Downtown Core,12.975294824855348,77.60453241308734
Premium 2 BHK in Greenwood Valley,"₹ 4,901,626 /- Only",1492 Sq-Ft,2 BHK,Greenwood Valley,12.981471332383846,77.74578373068549
Premium 1 BHK in Riverside Estates,"₹ 2,082,885 /- Only",571 Sq-Ft,1 BHK,Riverside Estates,13.033142728786586,77.5298232139624
Premium 2 BHK in Riverside Estates,"₹ 4,602,123 /- Only",1346 Sq-Ft,2 BHK,Riverside Estates,13.033490771103844,77.55146309581598
Premium 2 BHK in Downtown Core,"₹ 7,057,516 /- Only",1389 Sq-Ft,2 BHK,Downtown Core,12.971337765366075,77.5911858568651
Premium 1 BHK in Silicon Suburbs,"₹ 2,399,468 /- Only",699 Sq-Ft,1 BHK,Silicon Suburbs,12.930444013511497,77.63261076241618
Premium 1 BHK in Silicon Suburbs,"₹ 2,016,751 /- Only",595 Sq-Ft,1 BHK,Silicon Suburbs,12.927342289626173,77.63860835396704
Premium 3 BHK in Downtown Core,"₹ 11,107,973 /- Only",2201 Sq-Ft,3 BHK,Downtown Core,12.97994819772033,77.58476066002962
Premium 4 BHK in Riverside Estates,"₹ 8,385,750 /- Only",2434 Sq-Ft,4 BHK,Riverside Estates,13.036202396426997,77.5496279245044
Premium 2 BHK in Downtown Core,"₹ 7,093,394 /- Only",1397 Sq-Ft,2 BHK,Downtown Core,12.97837492791205,77.58563082010838
Premium 4 BHK in Riverside Estates,"₹ 8,907,362 /- Only",2633 Sq-Ft,4 BHK,Riverside Estates,13.037627780648705,77.55040664789237
Premium 2 BHK in Riverside Estates,"₹ 4,698,326 /- Only",1404 Sq-Ft,2 BHK,Riverside Estates,13.038597848275604,77.53729372065257
Premium 4 BHK in Downtown Core,"₹ 12,284,665 /- Only",2359 Sq-Ft,4 BHK,Downtown Core,12.967366156575828,77.59684580745596
Premium 1 BHK in Silicon Suburbs,"₹ 2,077,826 /- Only",585 Sq-Ft,1 BHK,Silicon Suburbs,12.923118415675404,77.62367072146579
Premium 4 BHK in Riverside Estates,"₹ 8,424,823 /- Only",2438 Sq-Ft,4 BHK,Riverside Estates,13.030628258007205,77.54949483986839
Premium 4 BHK in Downtown Core,"₹ 14,785,938 /- Only",2945 Sq-Ft,4 BHK,Downtown Core,12.959786568752795,77.5962260640291
Premium 3 BHK in Riverside Estates,"₹ 7,277,883 /- Only",2182 Sq-Ft,3 BHK,Riverside Estates,13.020698413060053,77.53989742522145
Premium 2 BHK in Silicon Suburbs,"₹ 4,242,916 /- Only",1209 Sq-Ft,2 BHK,Silicon Suburbs,12.93762833914933,77.62915918237535
Premium 3 BHK in Downtown Core,"₹ 8,732,929 /- Only",1647 Sq-Ft,3 BHK,Downtown Core,12.961036743157173,77.58579461140127
Premium 2 BHK in Greenwood Valley,"₹ 4,721,476 /- Only",1362 Sq-Ft,2 BHK,Greenwood Valley,12.989395250526412,77.76129091138468
Premium 4 BHK in Silicon Suburbs,"₹ 9,505,731 /- Only",2822 Sq-Ft,4 BHK,Silicon Suburbs,12.92005234363788,77.63585080718646
Premium 1 BHK in Riverside Estates,"₹ 2,506,606 /- Only",722 Sq-Ft,1 BHK,Riverside Estates,13.022168765555412,77.54323068077656
Premium 2 BHK in Downtown Core,"₹ 7,257,867 /- Only",1436 Sq-Ft,2 BHK,Downtown Core,12.967346397459195,77.59773550215426
Premium 4 BHK in Riverside Estates,"₹ 9,469,890 /- Only",2830 Sq-Ft,4 BHK,Riverside Estates,13.023836068193885,77.54845091289123
Premium 4 BHK in Greenwood Valley,"₹ 8,556,597 /- Only",2488 Sq-Ft,4 BHK,Greenwood Valley,12.986992610369224,77.73852485194453
Premium 1 BHK in Downtown Core,"₹ 2,963,844 /- Only",538 Sq-Ft,1 BHK,Downtown Core,12.96952421544515,77.58607238703155
Premium 3 BHK in Greenwood Valley,"₹ 6,907,969 /- Only",2043 Sq-Ft,3 BHK,Greenwood Valley,12.97190791296454,77.74444642336705
Premium 4 BHK in Greenwood Valley,"₹ 9,031,264 /- Only",2628 Sq-Ft,4 BHK,Greenwood Valley,12.970499898876488,77.76066216659342
Premium 2 BHK in Silicon Suburbs,"₹ 3,916,289 /- Only",1157 Sq-Ft,2 BHK,Silicon Suburbs,12.918491450078077,77.62576863742883
Premium 4 BHK in Riverside Estates,"₹ 9,995,861 /- Only",2980 Sq-Ft,4 BHK,Riverside Estates,13.03037535353014,77.54570410557204
Premium 2 BHK in Downtown Core,"₹ 6,630,132 /- Only",1328 Sq-Ft,2 BHK,Downtown Core,12.977844844523368,77.5977370651385
Premium 2 BHK in Riverside Estates,"₹ 4,191,894 /- Only",1183 Sq-Ft,2 BHK,Riverside Estates,13.027818202546815,77.5422534250886
Premium 1 BHK in Riverside Estates,"₹ 2,230,553 /- Only",696 Sq-Ft,1 BHK,Riverside Estates,13.030038835088538,77.55059244105964
Premium 3 BHK in Silicon Suburbs,"₹ 6,162,920 /- Only",1784 Sq-Ft,3 BHK,Silicon Suburbs,12.938386114276128,77.61677902560135
Premium 3 BHK in Silicon Suburbs,"₹ 6,095,483 /- Only",1696 Sq-Ft,3 BHK,Silicon Suburbs,12.92328236410451,77.63232116938885
Premium 4 BHK in Silicon Suburbs,"₹ 9,527,410 /- Only",2840 Sq-Ft,4 BHK,Silicon Suburbs,12.917339514941284,77.62334306036662
Premium 4 BHK in Downtown Core,"₹ 13,424,122 /- Only",2647 Sq-Ft,4 BHK,Downtown Core,12.973352079541236,77.59374115923133
Premium 1 BHK in Silicon Suburbs,"₹ 2,451,305 /- Only",749 Sq-Ft,1 BHK,Silicon Suburbs,12.929770170567103,77.62965028558163
Premium 1 BHK in Silicon Suburbs,"₹ 2,241,276 /- Only",605 Sq-Ft,1 BHK,Silicon Suburbs,12.926271223313563,77.61737432287832
Premium 4 BHK in Greenwood Valley,"₹ 7,819,786 /- Only",2240 Sq-Ft,4 BHK,Greenwood Valley,12.974628246145127,77.74536100016014
Premium 1 BHK in Silicon Suburbs,"₹ 2,495,077 /- Only",759 Sq-Ft,1 BHK,Silicon Suburbs,12.928110443058134,77.62565087631019
Premium 1 BHK in Silicon Suburbs,"₹ 2,191,184 /- Only",606 Sq-Ft,1 BHK,Silicon Suburbs,12.916477042738054,77.62351671949966
Premium 2 BHK in Riverside Estates,"₹ 4,067,019 /- Only",1220 Sq-Ft,2 BHK,Riverside Estates,13.037029884662088,77.52965577982611
Premium 1 BHK in Greenwood Valley,"₹ 2,160,788 /- Only",617 Sq-Ft,1 BHK,Greenwood Valley,12.974722645155342,77.74523090103612
Premium 1 BHK in Riverside Estates,"₹ 2,015,000 /- Only",627 Sq-Ft,1 BHK,Riverside Estates,13.03057008040129,77.54806871201026
Premium 1 BHK in Downtown Core,"₹ 2,828,266 /- Only",530 Sq-Ft,1 BHK,Downtown Core,12.97903423942137,77.58414238258821
Premium 2 BHK in Greenwood Valley,"₹ 4,047,035 /- Only",1202 Sq-Ft,2 BHK,Greenwood Valley,12.979435576249061,77.74691685807524
Premium 2 BHK in Downtown Core,"₹ 6,760,872 /- Only",1332 Sq-Ft,2 BHK,Downtown Core,12.959873794106098,77.58489942567434
Premium 3 BHK in Silicon Suburbs,"₹ 6,618,707 /- Only",1895 Sq-Ft,3 BHK,Silicon Suburbs,12.927663147960883,77.62686552403768
Premium 4 BHK in Downtown Core,"₹ 14,035,267 /- Only",2738 Sq-Ft,4 BHK,Downtown Core,12.971891493826988,77.59623738840138
Premium 3 BHK in Silicon Suburbs,"₹ 6,243,076 /- Only",1804 Sq-Ft,3 BHK,Silicon Suburbs,12.934501539979632,77.63405863277806
Premium 4 BHK in Downtown Core,"₹ 13,565,039 /- Only",2646 Sq-Ft,4 BHK,Downtown Core,12.961006675430285,77.60602598875562
Premium 4 BHK in Greenwood Valley,"₹ 9,049,364 /- Only",2653 Sq-Ft,4 BHK,Greenwood Valley,12.987664323379784,77.75025987276912
Premium 2 BHK in Downtown Core,"₹ 7,278,080 /- Only",1425 Sq-Ft,2 BHK,Downtown Core,12.981754609803358,77.60258232223717
Premium 3 BHK in Downtown Core,"₹ 11,209,513 /- Only",2235 Sq-Ft,3 BHK,Downtown Core,12.978284023302205,77.60209890416478
Premium 1 BHK in Riverside Estates,"₹ 2,107,795 /- Only",642 Sq-Ft,1 BHK,Riverside Estates,13.03234792213347,77.54833306003601
Premium 4 BHK in Greenwood Valley,"₹ 7,884,037 /- Only",2207 Sq-Ft,4 BHK,Greenwood Valley,12.971302581212143,77.73989053730728
Premium 3 BHK in Silicon Suburbs,"₹ 7,258,394 /- Only",2162 Sq-Ft,3 BHK,Silicon Suburbs,12.936014562145365,77.62839520367248
Premium 1 BHK in Silicon Suburbs,"₹ 2,498,100 /- Only",742 Sq-Ft,1 BHK,Silicon Suburbs,12.922563562173695,77.62449816059592
Premium 1 BHK in Riverside Estates,"₹ 2,053,431 /- Only",611 Sq-Ft,1 BHK,Riverside Estates,13.035054706856176,77.53406429128871
Premium 1 BHK in Riverside Estates,"₹ 2,147,501 /- Only",612 Sq-Ft,1 BHK,Riverside Estates,13.038080689494192,77.54381754825464
Premium 4 BHK in Silicon Suburbs,"₹ 9,984,671 /- Only",2972 Sq-Ft,4 BHK,Silicon Suburbs,12.932771218094418,77.63515487240566
Premium 1 BHK in Silicon Suburbs,"₹ 2,401,401 /- Only",676 Sq-Ft,1 BHK,Silicon Suburbs,12.936544916881552,77.61610443145395
Premium 4 BHK in Riverside Estates,"₹ 7,834,588 /- Only",2255 Sq-Ft,4 BHK,Riverside Estates,13.039562276835758,77.55099090247971
Premium 4 BHK in Greenwood Valley,"₹ 9,084,126 /- Only",2717 Sq-Ft,4 BHK,Greenwood Valley,12.979621449587876,77.74353121725993
Premium 4 BHK in Greenwood Valley,"₹ 9,936,735 /- Only",2994 Sq-Ft,4 BHK,Greenwood Valley,12.975300766319755,77.74710659505331
Premium 1 BHK in Greenwood Valley,"₹ 1,956,527 /- Only",513 Sq-Ft,1 BHK,Greenwood Valley,12.978456092626029,77.75067882425988
Premium 3 BHK in Greenwood Valley,"₹ 5,918,146 /- Only",1689 Sq-Ft,3 BHK,Greenwood Valley,12.991097728243906,77.76054527477257
Premium 2 BHK in Silicon Suburbs,"₹ 4,637,378 /- Only",1323 Sq-Ft,2 BHK,Silicon Suburbs,12.93553854139007,77.63888624787312
Premium 3 BHK in Riverside Estates,"₹ 6,501,228 /- Only",1853 Sq-Ft,3 BHK,Riverside Estates,13.034157308184097,77.53683154971782
Premium 2 BHK in Downtown Core,"₹ 7,082,991 /- Only",1398 Sq-Ft,2 BHK,Downtown Core,12.981650581288951,77.59997617975819
Premium 4 BHK in Riverside Estates,"₹ 9,658,395 /- Only",2928 Sq-Ft,4 BHK,Riverside Estates,13.033095148914837,77.55042123362804
Premium 4 BHK in Greenwood Valley,"₹ 7,908,557 /- Only",2300 Sq-Ft,4 BHK,Greenwood Valley,12.987411207660625,77.7411521968951
Premium 4 BHK in Greenwood Valley,"₹ 9,347,288 /- Only",2752 Sq-Ft,4 BHK,Greenwood Valley,12.989501852939476,77.74731253554948
Premium 4 BHK in Silicon Suburbs,"₹ 8,862,011 /- Only",2542 Sq-Ft,4 BHK,Silicon Suburbs,12.93491376807385,77.63520885224129
Premium 4 BHK in Greenwood Valley,"₹ 8,850,308 /- Only",2594 Sq-Ft,4 BHK,Greenwood Valley,12.969531324069346,77.74368829113766
Premium 3 BHK in Riverside Estates,"₹ 7,305,863 /- Only",2163 Sq-Ft,3 BHK,Riverside Estates,13.037848439426783,77.54533875801478
Premium 4 BHK in Silicon Suburbs,"₹ 8,611,099 /- Only",2521 Sq-Ft,4 BHK,Silicon Suburbs,12.93380396157635,77.63889800099024
Premium 1 BHK in Greenwood Valley,"₹ 2,371,130 /- Only",704 Sq-Ft,1 BHK,Greenwood Valley,12.984517744901312,77.75594686219593
Premium 4 BHK in Greenwood Valley,"₹ 9,705,424 /- Only",2879 Sq-Ft,4 BHK,Greenwood Valley,12.982210175095746,77.75409538328604
Premium 3 BHK in Silicon Suburbs,"₹ 6,279,515 /- Only",1777 Sq-Ft,3 BHK,Silicon Suburbs,12.936105727621316,77.6283468983041
Premium 3 BHK in Downtown Core,"₹ 8,478,245 /- Only",1646 Sq-Ft,3 BHK,Downtown Core,12.972765927476319,77.5953142628228
Premium 1 BHK in Silicon Suburbs,"₹ 2,428,599 /- Only",688 Sq-Ft,1 BHK,Silicon Suburbs,12.921199628160016,77.61965488396554
Premium 4 BHK in Silicon Suburbs,"₹ 7,787,299 /- Only",2198 Sq-Ft,4 BHK,Silicon Suburbs,12.929371163804875,77.62848723336235
Premium 4 BHK in Downtown Core,"₹ 13,278,085 /- Only",2620 Sq-Ft,4 BHK,Downtown Core,12.98011024265304,77.58829658790764
Premium 3 BHK in Greenwood Valley,"₹ 6,423,009 /- Only",1856 Sq-Ft,3 BHK,Greenwood Valley,12.989664381478265,77.74726990381298
Premium 3 BHK in Riverside Estates,"₹ 6,973,817 /- Only",2015 Sq-Ft,3 BHK,Riverside Estates,13.039923584652136,77.53869569029331
Premium 2 BHK in Downtown Core,"₹ 6,291,895 /- Only",1217 Sq-Ft,2 BHK,Downtown Core,12.971945806959257,77.60515138598102
